id,country,poor
418,A,0.9446920868812596
41249,A,0.0004905908091297707
16205,A,0.7658634669978139
97501,A,9.930465332541479e-05
67756,A,0.9661368907081994
17938,A,0.004986110047655307
19036,A,8.198150187357547e-05
61587,A,0.14068448521853963
57571,A,0.8323543224692221
64203,A,0.24632895691615475
30762,A,0.9926941498369308
41072,A,0.06850647799461428
46727,A,0.11472879470736581
78263,A,0.6811050329807847
58110,A,0.03427906359930779
13124,A,0.9451451440952388
71752,A,0.5787859247492646
75036,A,0.6569278040279342
68309,A,0.9652597026534219
5668,A,0.004178110493818256
27937,A,2.6899962317788336e-05
60163,A,0.0021791955822173174
97835,A,5.655149522379389e-05
7186,A,0.026926358257330706
36143,A,0.41267116719836533
3465,A,0.8396659644808968
29970,A,0.1657789302707519
60973,A,0.9848311701414048
31451,A,5.33226545373879e-06
82565,A,0.11354688150273114
7160,A,0.9204589081317031
55644,A,0.8509913145616391
67347,A,0.34867653126343107
67980,A,0.9691847365848906
3941,A,0.9999975778533097
37733,A,0.8721390182653653
14312,A,0.9800472565747346
33905,A,0.9624581335705011
34048,A,0.06190799889284078
30841,A,0.7200084277860714
66811,A,0.9765317946158886
19355,A,0.05941860052795011
32371,A,0.1053397906076212
9370,A,0.9712314705433039
44995,A,0.5929173060467238
78395,A,0.9897002998513952
98886,A,0.9559644526856541
6364,A,0.917184043525254
96637,A,0.03443093994191221
8007,A,0.4213521960130732
68662,A,0.0008069618999167491
84129,A,0.8230673858967558
28419,A,0.977107854950961
36223,A,0.4516544801056791
89997,A,0.042015574626501365
2014,A,0.0008517782553077832
64344,A,0.007421883051052936
27605,A,0.5120878777379648
75725,A,0.07583670098021134
13703,A,0.00043327151126213906
56579,A,0.9910077223376322
71352,A,0.9267603614221774
30580,A,0.22164671936549418
61719,A,0.9716968284512607
46701,A,0.3512921904694692
58792,A,0.180893053700097
21795,A,0.7551938982107066
89821,A,0.7272268923379374
40888,A,0.704296471155456
61276,A,0.9019225131407309
21635,A,0.9923487354176456
39822,A,0.8171197761376291
56597,A,0.11088528498024866
89350,A,0.0074327432307386134
54128,A,0.9815759403946422
48435,A,0.000748404903166967
16642,A,0.8680617861148869
97330,A,0.39211026677108585
43863,A,0.25245122275714166
63177,A,0.7959669129181927
72054,A,0.00014292642240354967
5435,A,0.2136876783681649
34168,A,0.9496433112762572
99214,A,0.6530446192315207
55216,A,0.9750935464031111
91361,A,0.9917705879689247
88552,A,0.04980181502601101
16461,A,0.9771542186467185
62843,A,0.6909134449285921
9365,A,0.8941932051250926
3919,A,0.669363538747145
3475,A,0.795499302238469
28437,A,3.7351457511546865e-05
65891,A,0.9793973856593617
16408,A,0.06519706125473473
80229,A,0.002645589700722267
80092,A,0.9861597854034378
9034,A,0.1435348126236922
95006,A,0.0020941843700370403
26614,A,0.007700387874327025
14155,A,0.5980074215712212
175,A,0.9851276406956394
11855,A,0.9548994833942271
87429,A,0.5385244680973561
19276,A,0.999992300423587
28524,A,0.004941919053189089
52062,A,0.8512476164342158
54837,A,0.36748614677530533
50411,A,0.9901346198602861
15859,A,0.9835208890750784
6544,A,0.6693331909573798
63085,A,0.665528093062889
93525,A,0.8383784571663101
7089,A,0.8881470705263365
29028,A,0.038373879951208896
10228,A,0.020030792386644153
11000,A,0.1132651273717534
39317,A,0.1426481672239923
53722,A,6.526234323091743e-06
22735,A,0.00015733772715226864
86326,A,6.919479821581399e-05
13015,A,0.964404087564197
83434,A,0.18396990806327307
95951,A,0.6996744461335571
